dataset,method,n_test,img_size,n,m,gamma,steps,z_init_std,optimizer,lr,noise,psnr1,psnr2,psnr3,recon_error1,recon_error2,recon_error3
birds,glow-main,12,64,12288,50,0,30,0,lbfgs,0.1,random_bora,15.135,,,0.034077,,
birds,glow-main,12,64,12288,30,0,30,0,lbfgs,0.1,random_bora,14.67,,,0.037804,,
birds,glow-main,12,64,12288,20,0,30,0,lbfgs,0.1,random_bora,13.839,,,0.045289,,
,,,,,,,,,,,,,,,,,
flowers,lasso-wavelet,12,64,12288,12288,0.01,,,sklearn,,random_bora,32.301,32.338,32.302,0.0012,0.001164,0.001104
flowers,lasso-wavelet,12,64,12288,10000,0.01,,,sklearn,,random_bora,29.582,29.79,29.722,0.001703,0.00179,0.00157
flowers,lasso-wavelet,12,64,12288,7500,0.01,,,sklearn,,random_bora,25.696,25.922,25.85,0.003442,0.00326,0.003549
flowers,lasso-wavelet,12,64,12288,5000,0.01,,,sklearn,,random_bora,22.004,21.865,22.307,0.007213,0.007699,0.006892
flowers,lasso-wavelet,12,64,12288,2500,0.01,,,sklearn,,random_bora,18.401,17.878,18.192,0.016075,0.018352,0.017484
flowers,lasso-wavelet,12,64,12288,1000,0.01,,,sklearn,,random_bora,14.709,14.681,15.013,0.036209,0.038515,0.035014
flowers,lasso-wavelet,12,64,12288,750,0.01,,,sklearn,,random_bora,14.268,14.188,14.017,0.042126,0.042114,0.043882
flowers,lasso-wavelet,12,64,12288,500,0.01,,,sklearn,,random_bora,13.208,13.416,13.125,0.052429,0.050076,0.053347
flowers,lasso-wavelet,12,64,12288,400,0.01,,,sklearn,,random_bora,13.085,13.109,12.838,0.053738,0.055196,0.057689
flowers,lasso-wavelet,12,64,12288,300,0.01,,,sklearn,,random_bora,12.465,12.891,12.8,0.059452,0.056192,0.05883
flowers,lasso-wavelet,12,64,12288,200,0.01,,,sklearn,,random_bora,12.458,12.271,12.181,0.060005,0.06208,0.063398
flowers,lasso-wavelet,12,64,12288,100,0.01,,,sklearn,,random_bora,12.468,12.204,12.465,0.059443,0.063736,0.059573
flowers,lasso-wavelet,12,64,12288,50,0.01,,,sklearn,,random_bora,11.926,12.18,11.978,0.067337,0.063411,0.066534
flowers,lasso-wavelet,12,64,12288,30,0.01,,,sklearn,,random_bora,11.405,11.298,11.86,0.074911,0.078271,0.069491
flowers,lasso-wavelet,12,64,12288,20,0.01,,,sklearn,,random_bora,10.993,10.99,10.287,0.084995,0.087197,0.100848
,,,,,,,,,,,,,,,,,
flowers,lasso-dct,12,64,12288,12288,0.01,,,sklearn,,random_bora,35.974,35.971,35.981,0.000271,0.000271,0.000271
flowers,lasso-dct,12,64,12288,10000,0.01,,,sklearn,,random_bora,33.623,33.547,33.533,0.000478,0.000487,0.00049
flowers,lasso-dct,12,64,12288,7500,0.01,,,sklearn,,random_bora,30.029,29.925,29.951,0.001131,0.001143,0.001143
flowers,lasso-dct,12,64,12288,5000,0.01,,,sklearn,,random_bora,25.892,25.852,25.881,0.0029,0.002944,0.002915
flowers,lasso-dct,12,64,12288,2500,0.01,,,sklearn,,random_bora,21.251,21.255,21.35,0.008314,0.008278,0.008136
flowers,lasso-dct,12,64,12288,1000,0.01,,,sklearn,,random_bora,17.668,17.477,17.606,0.018862,0.01939,0.018765
flowers,lasso-dct,12,64,12288,750,0.01,,,sklearn,,random_bora,16.923,16.859,16.957,0.02224,0.022606,0.022073
flowers,lasso-dct,12,64,12288,500,0.01,,,sklearn,,random_bora,15.819,15.838,15.761,0.02847,0.027925,0.028673
flowers,lasso-dct,12,64,12288,400,0.01,,,sklearn,,random_bora,15.452,15.54,15.462,0.030761,0.030011,0.030666
flowers,lasso-dct,12,64,12288,300,0.01,,,sklearn,,random_bora,14.936,14.823,15.112,0.034643,0.03489,0.033126
flowers,lasso-dct,12,64,12288,200,0.01,,,sklearn,,random_bora,13.872,14.194,13.998,0.043787,0.041069,0.042213
flowers,lasso-dct,12,64,12288,100,0.01,,,sklearn,,random_bora,12.733,13.101,12.618,0.055813,0.05154,0.057151
flowers,lasso-dct,12,64,12288,50,0.01,,,sklearn,,random_bora,12.454,12.116,11.886,0.060064,0.063662,0.068814
flowers,lasso-dct,12,64,12288,30,0.01,,,sklearn,,random_bora,10.833,11.846,11.893,0.086294,0.068096,0.067343
flowers,lasso-dct,12,64,12288,20,0.01,,,sklearn,,random_bora,11.206,11.43,11.254,0.080713,0.078004,0.078459
,,,,,,,,,,,,,,,,,
birds,lasso-wavelet,12,64,12288,12288,0.01,,,sklearn,,random_bora,32.442,32.631,32.278,0.002731,0.002353,0.002872
birds,lasso-wavelet,12,64,12288,10000,0.01,,,sklearn,,random_bora,29.906,30.348,30.297,0.00323,0.002821,0.002657
birds,lasso-wavelet,12,64,12288,7500,0.01,,,sklearn,,random_bora,26.853,26.948,26.896,0.003756,0.004094,0.00412
birds,lasso-wavelet,12,64,12288,5000,0.01,,,sklearn,,random_bora,22.548,22.544,22.858,0.008226,0.008815,0.008166
birds,lasso-wavelet,12,64,12288,2500,0.01,,,sklearn,,random_bora,18.245,18.962,18.934,0.01951,0.018484,0.017925
birds,lasso-wavelet,12,64,12288,1000,0.01,,,sklearn,,random_bora,15.464,16.164,15.68,0.039633,0.032555,0.036182
birds,lasso-wavelet,12,64,12288,750,0.01,,,sklearn,,random_bora,14.899,14.895,14.495,0.040966,0.04249,0.046755
birds,lasso-wavelet,12,64,12288,500,0.01,,,sklearn,,random_bora,13.722,14.398,14.826,0.057317,0.045595,0.043072
