Dz,Dx,method
0.26,0.084719114,random-direction
0.26,0.110115245,random-direction
0.26,0.08495431,random-direction
0.26,0.11250565,random-direction
0.26,0.11373267,random-direction
0.26,0.09735024,random-direction
0.26,0.13164963,random-direction
0.26,0.08244862,random-direction
0.26,0.10227384,random-direction
0.26,0.12852807,random-direction
0.26,0.110472575,random-direction
0.26,0.089503035,random-direction
0.26,0.13871558,random-direction
0.26,0.12752856,random-direction
0.26,0.14326988,random-direction
0.26,0.09952156,random-direction
0.26,0.09113869,random-direction
0.26,0.087109335,random-direction
0.26,0.12415071,random-direction
0.26,0.13122217,random-direction
0.26,0.11820726,random-direction
0.26,0.08248865,random-direction
0.26,0.2565433,random-direction
0.26,0.123237,random-direction
0.26,0.08071103,random-direction
0.26,0.096837685,random-direction
0.26,0.095114104,random-direction
0.26,0.08313565,random-direction
0.26,0.08383923,random-direction
0.26,0.0658054,random-direction
0.26,0.1133855,random-direction
0.26,0.08745534,random-direction
0.26,0.09417947,random-direction
0.26,0.1084594,random-direction
0.26,0.08779461,random-direction
0.26,0.09088326,random-direction
0.26,0.12631257,random-direction
0.26,0.12825146,random-direction
0.26,0.07725619,random-direction
0.26,0.0982178,random-direction
0.26,0.09204779,random-direction
0.26,0.108485356,random-direction
0.26,0.12949805,random-direction
0.26,0.049080748,random-direction
0.26,0.114300705,random-direction
0.26,0.15425871,random-direction
0.26,0.08939282,random-direction
0.26,0.07623728,random-direction
0.26,0.08576017,random-direction
0.26,0.13038078,random-direction
0.26,0.09279453,random-direction
0.26,0.07505047,random-direction
0.26,0.14432575,random-direction
0.26,0.10325937,random-direction
0.26,0.09992163,random-direction
0.26,0.08889775,random-direction
0.26,0.10065527,random-direction
0.26,0.16324718,random-direction
0.26,0.0974806,random-direction
0.26,0.15964624,random-direction
0.26,0.09498633,random-direction
0.26,0.12040627,random-direction
0.26,0.123278245,random-direction
0.26,0.12795557,random-direction
0.26,0.11951222,random-direction
0.26,0.09451552,random-direction
0.26,0.06534233,random-direction
0.26,0.10956256,random-direction
0.26,0.10603492,random-direction
0.26,0.09575578,random-direction
0.26,0.12340555,random-direction
0.26,0.07850061,random-direction
0.26,0.08837759,random-direction
0.26,0.05781106,random-direction
0.26,0.09624544,random-direction
0.26,0.101145014,random-direction
0.26,0.09751379,random-direction
0.26,0.19824609,random-direction
0.26,0.08970147,random-direction
0.26,0.10339899,random-direction
0.26,0.0788569,random-direction
0.26,0.1345941,random-direction
0.26,0.10023011,random-direction
0.26,0.081679,random-direction
0.26,0.11944288,random-direction
0.26,0.063334346,random-direction
0.26,0.10173048,random-direction
0.26,0.103631,random-direction
0.26,0.13829198,random-direction
0.26,0.09312835,random-direction
0.26,0.091778226,random-direction
0.26,0.089865096,random-direction
0.3,0.16426218,random-direction
0.3,0.093707606,random-direction
0.3,0.13212453,random-direction
0.3,0.12268851,random-direction
0.3,0.11315733,random-direction
0.3,0.13954583,random-direction
0.3,0.117300846,random-direction
0.3,0.17162664,random-direction
0.3,0.09031466,random-direction
0.3,0.12918368,random-direction
0.3,0.1655038,random-direction
0.3,0.099470004,random-direction
0.3,0.13720094,random-direction
0.3,0.10321816,random-direction
0.3,0.119391486,random-direction
0.3,0.09979669,random-direction
0.3,0.13883272,random-direction
0.3,0.08762733,random-direction
0.3,0.1146964,random-direction
0.3,0.14222619,random-direction
0.3,0.14727187,random-direction
0.3,0.120168805,random-direction
0.3,0.09829008,random-direction
0.3,0.11207354,random-direction
0.3,0.11901748,random-direction
0.3,0.102589026,random-direction
0.3,0.15086043,random-direction
0.3,0.09949915,random-direction
0.3,0.23601799,random-direction
0.3,0.13007016,random-direction
0.3,0.25123325,random-direction
0.3,0.124129914,random-direction
0.3,0.09759047,random-direction
0.3,0.11959185,random-direction
0.3,0.097455144,random-direction
0.3,0.14483032,random-direction
0.3,0.120567046,random-direction
0.3,0.115385845,random-direction
0.3,0.09906841,random-direction
0.3,0.11975841,random-direction
0.3,0.10809638,random-direction
0.3,0.13214242,random-direction
0.3,0.10328104,random-direction
0.3,0.09575997,random-direction
0.3,0.122193515,random-direction
0.3,0.11482928,random-direction
0.3,0.11103541,random-direction
0.3,0.15620577,random-direction
0.3,0.101430476,random-direction
0.3,0.106000856,random-direction
0.3,0.087826215,random-direction
0.3,0.11595057,random-direction
0.3,0.1029909,random-direction
0.3,0.18043384,random-direction
0.3,0.10605192,random-direction
0.3,0.12640136,random-direction
0.3,0.1346003,random-direction
0.3,0.10981073,random-direction
0.3,0.12655191,random-direction
0.3,0.15001066,random-direction
0.3,0.11419179,random-direction
0.3,0.1013365,random-direction
0.3,0.08505288,random-direction
