Dx,Dz,method
0.2500493,0.18,natural-direction
0.085396536,0.18,natural-direction
0.052586537,0.18,natural-direction
0.09806867,0.18,natural-direction
0.10916581,0.18,natural-direction
0.07223995,0.18,natural-direction
0.08081439,0.18,natural-direction
0.096520185,0.18,natural-direction
0.09644301,0.18,natural-direction
0.07334119,0.18,natural-direction
0.09638472,0.18,natural-direction
0.066789575,0.18,natural-direction
0.09417829,0.18,natural-direction
0.39500663,0.18,natural-direction
0.075598806,0.18,natural-direction
0.25081697,0.18,natural-direction
0.056927066,0.18,natural-direction
0.109454826,0.18,natural-direction
0.0904671,0.18,natural-direction
0.07515488,0.18,natural-direction
0.11178272,0.18,natural-direction
0.12009835,0.18,natural-direction
0.058941722,0.18,natural-direction
0.12657404,0.18,natural-direction
0.059452984,0.18,natural-direction
0.11324657,0.18,natural-direction
0.088130765,0.18,natural-direction
0.08456732,0.18,natural-direction
0.10547791,0.18,natural-direction
0.0643914,0.18,natural-direction
0.046990946,0.18,natural-direction
0.10568454,0.18,natural-direction
0.04365432,0.18,natural-direction
0.078774214,0.18,natural-direction
0.07293718,0.18,natural-direction
0.059307788,0.18,natural-direction
0.14887948,0.22,natural-direction
0.06276917,0.22,natural-direction
0.09626081,0.22,natural-direction
0.12880458,0.22,natural-direction
0.10540287,0.22,natural-direction
0.1020806,0.22,natural-direction
0.078396,0.22,natural-direction
0.109001204,0.22,natural-direction
0.0801054,0.22,natural-direction
0.08006449,0.22,natural-direction
0.12722619,0.22,natural-direction
0.10690051,0.22,natural-direction
0.116652325,0.22,natural-direction
0.110864714,0.22,natural-direction
0.0796676,0.22,natural-direction
0.11932668,0.22,natural-direction
0.08068005,0.22,natural-direction
0.119279556,0.22,natural-direction
0.14832808,0.22,natural-direction
0.1937872,0.22,natural-direction
0.1439406,0.22,natural-direction
0.091300465,0.22,natural-direction
0.2736529,0.22,natural-direction
0.06513409,0.22,natural-direction
0.124234214,0.22,natural-direction
0.1411486,0.22,natural-direction
0.07284707,0.22,natural-direction
0.15630761,0.22,natural-direction
0.11731234,0.22,natural-direction
0.15844105,0.22,natural-direction
0.058132224,0.22,natural-direction
0.09293678,0.22,natural-direction
0.06878186,0.22,natural-direction
0.13530177,0.22,natural-direction
0.11328875,0.22,natural-direction
0.10421455,0.22,natural-direction
0.0824598,0.22,natural-direction
0.121793784,0.22,natural-direction
0.08918435,0.22,natural-direction
0.22945793,0.22,natural-direction
0.119248696,0.22,natural-direction
0.18484269,0.22,natural-direction
0.14337863,0.22,natural-direction
0.12514055,0.22,natural-direction
0.10645305,0.22,natural-direction
0.30958298,0.22,natural-direction
0.08324613,0.22,natural-direction
0.07355378,0.22,natural-direction
0.3107655,0.22,natural-direction
0.0901291,0.22,natural-direction
0.08017074,0.22,natural-direction
0.12118904,0.22,natural-direction
0.111715704,0.22,natural-direction
0.09057061,0.22,natural-direction
0.14509189,0.22,natural-direction
0.093489505,0.22,natural-direction
0.09716663,0.22,natural-direction
0.10569427,0.22,natural-direction
0.09984778,0.22,natural-direction
0.1088628,0.22,natural-direction
0.12752149,0.22,natural-direction
0.10468294,0.22,natural-direction
0.09458186,0.22,natural-direction
0.073317334,0.22,natural-direction
0.07960598,0.22,natural-direction
0.1111244,0.22,natural-direction
0.13511659,0.22,natural-direction
0.18721847,0.22,natural-direction
0.053916592,0.22,natural-direction
0.13829073,0.22,natural-direction
0.07041347,0.22,natural-direction
0.13046086,0.22,natural-direction
0.058120143,0.22,natural-direction
0.088267714,0.22,natural-direction
0.4900254,0.22,natural-direction
0.1023361,0.22,natural-direction
0.11433791,0.22,natural-direction
0.14004397,0.22,natural-direction
0.13074876,0.22,natural-direction
0.17458858,0.22,natural-direction
0.09529369,0.26,natural-direction
0.09614044,0.26,natural-direction
0.11475292,0.26,natural-direction
0.15342924,0.26,natural-direction
0.10884579,0.26,natural-direction
0.1711737,0.26,natural-direction
0.36931416,0.26,natural-direction
0.13998397,0.26,natural-direction
0.22054005,0.26,natural-direction
0.095428035,0.26,natural-direction
0.09500945,0.26,natural-direction
0.12737346,0.26,natural-direction
0.12150906,0.26,natural-direction
0.1390532,0.26,natural-direction
0.58615315,0.26,natural-direction
0.17653084,0.26,natural-direction
0.2733204,0.26,natural-direction
0.06922914,0.26,natural-direction
0.14206305,0.26,natural-direction
0.32830366,0.26,natural-direction
0.074853905,0.26,natural-direction
0.12559395,0.26,natural-direction
0.07770412,0.26,natural-direction
0.1611545,0.26,natural-direction
0.11888244,0.26,natural-direction
0.23112789,0.26,natural-direction
0.15153481,0.26,natural-direction
0.12430535,0.26,natural-direction
0.13517427,0.26,natural-direction
0.14806847,0.26,natural-direction
0.15548216,0.26,natural-direction
0.11132146,0.26,natural-direction
0.10784964,0.26,natural-direction
0.1270545,0.26,natural-direction
0.1727045,0.26,natural-direction
0.16808133,0.26,natural-direction
0.09340825,0.26,natural-direction
0.13203077,0.26,natural-direction
0.10736215,0.26,natural-direction
0.09808482,0.26,natural-direction
0.06416899,0.26,natural-direction
0.12958635,0.26,natural-direction
0.11076928,0.26,natural-direction
0.09920134,0.26,natural-direction
0.095432706,0.26,natural-direction
0.17742974,0.26,natural-direction
0.15197726,0.26,natural-direction
0.12201595,0.26,natural-direction
0.18895736,0.26,natural-direction
0.37107238,0.26,natural-direction
0.14520797,0.26,natural-direction
0.16120175,0.26,natural-direction
0.1052518,0.26,natural-direction
0.14424895,0.26,natural-direction
0.10607486,0.26,natural-direction
0.14212674,0.26,natural-direction
0.13233544,0.26,natural-direction
0.12978353,0.26,natural-direction
0.08197862,0.26,natural-direction
0.08731944,0.26,natural-direction
0.14215311,0.26,natural-direction
0.12599844,0.26,natural-direction
0.1708364,0.26,natural-direction
0.16483535,0.26,natural-direction
0.13628736,0.26,natural-direction
0.08678281,0.26,natural-direction
0.0839121,0.26,natural-direction
0.11266175,0.26,natural-direction
0.133002,0.26,natural-direction
0.20824201,0.26,natural-direction
0.15577364,0.26,natural-direction
0.22302324,0.26,natural-direction
0.14883246,0.26,natural-direction
0.166698,0.26,natural-direction
0.087623,0.26,natural-direction
0.0948962,0.26,natural-direction
0.12480844,0.26,natural-direction
0.06929334,0.26,natural-direction
0.1860084,0.26,natural-direction
0.11555904,0.26,natural-direction
0.110428154,0.3,natural-direction
0.12914014,0.3,natural-direction
0.086982995,0.3,natural-direction
0.14794199,0.3,natural-direction
0.20607617,0.3,natural-direction
0.11163871,0.3,natural-direction
0.14770573,0.3,natural-direction
0.12853767,0.3,natural-direction
0.10070623,0.3,natural-direction
0.17813401,0.3,natural-direction
0.11048652,0.3,natural-direction
0.31695887,0.3,natural-direction
0.68311554,0.3,natural-direction
0.20482981,0.3,natural-direction
0.18708019,0.3,natural-direction
0.43140846,0.3,natural-direction
0.09516761,0.3,natural-direction
0.11071899,0.3,natural-direction
0.115217626,0.3,natural-direction
0.1443436,0.3,natural-direction
0.1569401,0.3,natural-direction
0.15056299,0.3,natural-direction
0.1458361,0.3,natural-direction
0.258991,0.3,natural-direction
0.15363201,0.3,natural-direction
0.15009618,0.3,natural-direction
0.1757497,0.3,natural-direction
0.13323148,0.3,natural-direction
0.16498302,0.3,natural-direction
0.26852968,0.3,natural-direction
0.11366342,0.3,natural-direction
0.17637974,0.3,natural-direction
0.110276364,0.3,natural-direction
0.14492236,0.3,natural-direction
0.07442863,0.3,natural-direction
0.2003715,0.3,natural-direction
0.16729905,0.3,natural-direction
0.1107243,0.3,natural-direction
0.2562547,0.3,natural-direction
0.12219535,0.3,natural-direction
0.16863771,0.3,natural-direction
0.16509402,0.3,natural-direction
0.18722452,0.3,natural-direction
0.14632796,0.3,natural-direction
0.1251329,0.3,natural-direction
0.42937145,0.3,natural-direction
0.19828445,0.3,natural-direction
0.08031259,0.3,natural-direction
0.17202431,0.3,natural-direction
0.12461779,0.3,natural-direction
0.15422402,0.3,natural-direction
0.14170751,0.3,natural-direction
0.19831002,0.3,natural-direction
0.101670526,0.3,natural-direction
0.24184063,0.3,natural-direction
0.09030074,0.3,natural-direction
0.19330251,0.3,natural-direction
0.16151352,0.3,natural-direction
0.13388973,0.3,natural-direction
0.19496161,0.3,natural-direction
0.13786723,0.3,natural-direction
0.15316676,0.3,natural-direction
0.16265516,0.3,natural-direction
0.17253369,0.3,natural-direction
0.10135141,0.3,natural-direction
0.13073693,0.3,natural-direction
0.14100161,0.3,natural-direction
0.21952228,0.3,natural-direction
0.18088037,0.3,natural-direction
0.1083544,0.3,natural-direction
0.15823278,0.3,natural-direction
0.09741325,0.3,natural-direction
0.16468138,0.3,natural-direction
0.18050899,0.3,natural-direction
0.12645456,0.3,natural-direction
0.3836523,0.3,natural-direction
0.19150822,0.3,natural-direction
0.21571308,0.3,natural-direction
0.08053375,0.3,natural-direction
0.12286703,0.3,natural-direction
0.22521605,0.34,natural-direction
0.16606429,0.34,natural-direction
0.12717614,0.34,natural-direction
0.16048619,0.34,natural-direction
0.15684007,0.34,natural-direction
0.12570575,0.34,natural-direction
0.18397884,0.34,natural-direction
0.21330136,0.34,natural-direction
0.12613024,0.34,natural-direction
0.14413273,0.34,natural-direction
0.10285466,0.34,natural-direction
0.20293552,0.34,natural-direction
0.18731712,0.34,natural-direction
0.12591954,0.34,natural-direction
0.22193009,0.34,natural-direction
0.1649828,0.34,natural-direction
0.1755194,0.34,natural-direction
0.14700538,0.34,natural-direction
0.108338036,0.34,natural-direction
0.16864513,0.34,natural-direction
0.49188128,0.34,natural-direction
0.20561609,0.34,natural-direction
0.23477693,0.34,natural-direction
0.12567112,0.34,natural-direction
0.09909811,0.34,natural-direction
0.21817861,0.34,natural-direction
0.16838984,0.34,natural-direction
0.17431308,0.34,natural-direction
0.7804791,0.34,natural-direction
0.17061944,0.34,natural-direction
0.12600043,0.34,natural-direction
0.2502368,0.34,natural-direction
0.3612617,0.34,natural-direction
0.12917396,0.34,natural-direction
0.21987231,0.34,natural-direction
0.14869513,0.34,natural-direction
0.19980806,0.34,natural-direction
0.17856188,0.34,natural-direction
0.29198268,0.34,natural-direction
0.22812599,0.34,natural-direction
0.18517926,0.34,natural-direction
0.19626836,0.34,natural-direction
0.48967043,0.34,natural-direction
0.16433464,0.34,natural-direction
0.09136757,0.34,natural-direction
0.19599281,0.34,natural-direction
0.14186043,0.34,natural-direction
0.16145074,0.34,natural-direction
0.44014436,0.34,natural-direction
0.11571238,0.34,natural-direction
0.1233093,0.34,natural-direction
0.16673616,0.34,natural-direction
0.18813686,0.34,natural-direction
0.11463736,0.34,natural-direction
0.17134143,0.34,natural-direction
0.175016,0.34,natural-direction
0.1517354,0.34,natural-direction
0.19034684,0.34,natural-direction
0.18783706,0.34,natural-direction
0.30619556,0.34,natural-direction
0.1396214,0.34,natural-direction
0.19217798,0.34,natural-direction
0.13129964,0.34,natural-direction
0.1424532,0.34,natural-direction
0.20087858,0.34,natural-direction
0.23315573,0.34,natural-direction
0.2754603,0.34,natural-direction
0.24553947,0.34,natural-direction
0.14631006,0.34,natural-direction
0.13905768,0.34,natural-direction
0.11098499,0.34,natural-direction
0.15220788,0.34,natural-direction
0.08468889,0.34,natural-direction
0.21296854,0.34,natural-direction
0.18023635,0.34,natural-direction
0.22575931,0.34,natural-direction
0.11532344,0.34,natural-direction
0.09174281,0.34,natural-direction
0.29503545,0.34,natural-direction
0.20595378,0.34,natural-direction
